Original,Mapped_name
 American Economic Review,American Economic Review
 American Economic Review: Papers and Proceedings,American Economic Review: Papers and Proceedings
 Ashgate Publishing,Ashgate Publishing
 Economic & Political Weekly,Economic & Political Weekly
 Health Policy and Planning,Health Policy and Planning
 Health Systems & Reform,Health Systems & Reform
 JMIR mHealth and uHealth,JMIR mHealth and uHealth
 Journal of Educational and Behavioral Statistics,Journal of Educational and Behavioral Statistics
 Journal of International Economics,Journal of International Economics
 Journal of the European Economic Association Papers and Proceedings,Journal of the European Economic Association Papers and Proceedings
 Perspectivas- Journal of Political Science,Perspectivas- Journal of Political Science
" Refugees, Trade, and FDI. Oxford Review of Economic Policy",Oxford Review of Economic Policy
62 Harv. Int'l L.J.,Harvard International Law Journal
Academy of Management Perspectives,Academy of Management Perspectives
Acedemic Foundation,Academic Foundation
Advanced Sciences,Advanced Sciences
"Advances in Economics and Econometrics Tenth World Congress. Applied Economics, Econometric Society Monographs","Advances in Economics and Econometrics Tenth World Congress. Applied Economics, Econometric Society Monographs"
Advances in Experimental Medicine and Biology,Advances in Experimental Medicine and Biology
Advances in Experimental Social Psychology,Advances in Experimental Social Psychology
AEA Paper and Proceedings,American Economic Review: Papers and Proceedings
AEA Papers & Proceedings,American Economic Review: Papers and Proceedings
AEA Papers and Proceedings,American Economic Review: Papers and Proceedings
AER Insights,American Economic Review: Insights
AERA Open,AERA Open
African Affairs,African Affairs
African Health Sciences,African Health Sciences
AGU Fall Meeting Abstracts,AGU Fall Meeting Abstracts
AI Magazine,AI Magazine
AIDS,AIDS
AIDS and behavior,AIDS and Behavior
AIDS Care,AIDS Care
AIDS Patient Care and STDs,AIDS Patient Care and STDs
AIDS research and humar retroviruses,AIDS Research and Human Retroviruses
Alzhiemers and Dementia,Alzheimer's and Dementia
Am J Obstet Gynecol Glob Rep,American Journal of Obstetrics and Gynecology: Global Reports
Ambio,Ambio
America Journal of Public Health,American Journal of Public Health
Americal Journal of Clinical Nutrions,American Journal of Clinical Nutrition
Americam Journal of Epidemiology,American Journal of Epidemiology
American Economic Journal: Applied Economics,American Economic Journal: Applied Economics
American Economic Journal: Economic Policy,American Economic Journal: Economic Policy
American Economic Journal: Macroeconomics,American Economic Journal: Macroeconomics
American Economic Review,American Economic Review
American Economic Review P&P,American Economic Review: Papers and Proceedings
"American Economic Review Papers and 
Proceedings",American Economic Review: Papers and Proceedings
American Economic Review Papers and Proceedings,American Economic Review: Papers and Proceedings
American Economic Review.,American Economic Review
American Economic Review: Insights,American Economic Review: Insights
American Economic Review: Papers and Proceedings,American Economic Review: Papers and Proceedings
American Educational Research Journal,American Educational Research Journal
American Journal of Clinical Nutrients,American Journal of Clinical Nutrients
American Journal of Clinical Nutrition,American Journal of Clinical Nutrition
American Journal of Community Psychology,American Journal of Community Psychology
American Journal of Drug and Alcohol Abuse,American Journal of Drug and Alcohol Abuse
American Journal of Economic Policy,American Journal of Economic Policy
American Journal of Evaluation,American Journal of Evaluation
American Journal of Health Economics,American Journal of Health Economics
American Journal of Obstetrics and Gynecology,American Journal of Obstetrics and Gynecology
American Journal of Obstetrics Gynecology MFM,American Journal of Obstetrics Gynecology MFM
American Journal of Political Science,American Journal of Political Science
American Journal of Preventative Medicine,American Journal of Preventative Medicine
American Journal of Psycology,American Journal of Psychology
American Journal of Public Health,American Journal of Public Health
American Journal of Tropical Medicine & Hygiene,American Journal of Tropical Medicine and Hygiene
American Journal of Tropical Medicine and Hygiene,American Journal of Tropical Medicine and Hygiene
American Political Science Review,American Political Science Review
American Psychologist,American Psychologist
American Sociological Review,American Sociological Review
Animal Conservation,Animal Conservation
Animals of the New York Academy of Science,Animals of the New York Academy of Science
Annals od General Psychiatry,Annals of General Psychiatry
Annals of African Medicine,Annals of African Medicine
Annals of Applied Statistics,Annals of Applied Statistics
Annals of Economics and Finance,Annals of Economics and Finance
"Annals of Economics and Finance, Society for AEF",Annals of Economics and Finance
Annals of Internal Medicine,Annals of Internal Medicine
Annals of Neurology,Annals of Neurology
Annals of Surgery,Annals of Surgery
Annals of the New York Acadamy,Annals of the New York Academy
Annual Review of Economics,Annual Review of Economics
Annual Review of Environment and Resources,Annual Review of Environment and Resources
Annual Review of Political Science,Annual Review of Political Science
Annual Review of Psychology,Annual Review of Psychology
Annual Review of Sociology,Annual Review of Sociology
Annual Reviews in Environment and Resources,Annual Reviews in Environment and Resources
Anthem Press,Anthem Press
Anthropology & Education Quarterly,Anthropology & Education Quarterly
Antioxidants,Antioxidants
Applied Economics Letters,Applied Economics Letters
Arab Human Development Report,Arab Human Development Report
Archives of Disease in Childhood,Archives of Disease in Childhood
AREA Open,AREA Open
