Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Journal Article,56,Joseph,,Henrich,Eric Priest; Celia Deane-Drummond; Joseph Henrich; Mary Meyers; Joseph Henrich; Agustín Fuentes; Cristine Legare; David Reich; Alan Mittleman; Jan-Olav Henriksen; Jennifer A. Herdt; Celia Deane-Drummond; John Behr,Introduction To Symposium On “Just How Special Are Humans,Zygon,No,58.0,2,378-383,May,,,2023,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12898,,,,,,,,,,,,Summer - Kiki,,abstract-text,05/01/2023,Yes,"Priest Eric, Celia Deane-Drummond, Joseph Henrich, Mary Meyers, Joseph Henrich, Agustín Fuentes, Cristine Legare, David Reich, Alan Mittleman, Jan-Olav Henriksen, Jennifer A. Herdt, Celia Deane-Drummond and John Behr","Priest Eric, Celia Deane-Drummond, Joseph Henrich, Mary Meyers, Joseph Henrich, Agustín Fuentes, Cristine Legare, David Reich, Alan Mittleman, Jan-Olav Henriksen, Jennifer A. Herdt, Celia Deane-Drummond and John Behr. 2023. Introduction To Symposium On “Just How Special Are Humans. Zygon 58.0, no. 2 (May): 378-383."
,Journal Article,56,Joseph,,Henrich,Joseph Henrich,How Culture Made Us Uniquely Human,Zygon,No,58.0,2,405-424,May,,,2023,https://onlinelibrary.wiley.com/doi/abs/10.1111/zygo.12894,,,,,,,,,,,,Summer - Kiki,,,05/01/2023,Yes,Henrich Joseph,"Henrich Joseph. 2023. How Culture Made Us Uniquely Human. Zygon 58.0, no. 2 (May): 405-424."
,Media Article,27,Gautam,,Nair,Gautam Nair,Why the Poor Don’t Soak the Rich: They Don’t Know How Poor (or Rich) They Really Are,Yale Institution for Social and Policy Studies Blog,No,,,,January,,,2016,https://isps.yale.edu/news/blog/2016/08/why-the-poor-don%E2%80%99t-soak-the-rich-they-don%E2%80%99t-know-how-poor-or-rich-they-really-are,,,,,,,,,,,,Summer - Kiki,,,01/01/2016,Yes,Nair Gautam,"Nair Gautam. 2016. Why the Poor Don’t Soak the Rich: They Don’t Know How Poor (or Rich) They Really Are. Yale Institution for Social and Policy Studies Blog, nan."
,Journal Article,111,Mark,,Wu,Emily Blanchard; Mark Wu,Externalities and Agricultural Import Bans: Evaluating Regionalization Measures in Light of the Russia–Pigs Dispute,World Trade Review,,18.0,2,,March,,,2019,https://www.cambridge.org/core/journals/world-trade-review/article/abs/externalities-and-agricultural-import-bans-evaluating-regionalization-measures-in-light-of-the-russiapigs-dispute/2653A2C9612C1BC19E4CBFD48D95E9E8,,,,,,,,,,,,Summer - Maceo,,,03/01/2019,Yes,Blanchard Emily and Mark Wu,"Blanchard Emily and Mark Wu. 2019. Externalities and Agricultural Import Bans: Evaluating Regionalization Measures in Light of the Russia–Pigs Dispute. World Trade Review 18.0, no. 2 (March): nan."
,Journal Article,111,Mark,,Wu,Rodney Ludema; Mark Wu,What is Price Suppression in Abnormal Economic Times? Reflections in Light of the Russia-Commercial Vehicles Ruling,World Trade Rev.,,19.0,2,,,,,2020,https://www.cambridge.org/core/journals/world-trade-review/article/abs/what-is-price-suppression-in-abnormal-economic-times-reflections-in-light-of-the-russiacommercial-vehicles-ruling/BA30DA3590C45685FB53B50B7FA55EC4,,,,,,,,,,,,Summer - Maceo,,,01/01/2020,Yes,Ludema Rodney and Mark Wu,"Ludema Rodney and Mark Wu. 2020. What is Price Suppression in Abnormal Economic Times? Reflections in Light of the Russia-Commercial Vehicles Ruling. World Trade Rev. 19.0, no. 2 (nan): nan."
,Book,74,Marc,,Melitz,Marc J. Melitz,Trade Competition and Reallocations in a Small Open Economy,"World Trade Evolution: Growth, Productivity and Employment",,,,,,,,2018,https://scholar.harvard.edu/melitz/publications/trade-competition-and-reallocations-small-open-economy,,,Not sure about the name of te book or the publisher,,,,,,,,,Summer - Maceo,,,01/01/2018,Yes,Melitz Marc J.,"Melitz Marc J.. 2018. Trade Competition and Reallocations in a Small Open Economy.: World Trade Evolution: Growth, Productivity and Employment."
,Book,66,Benjamin,,Friedman,Benjamin M. Friedman,Is Our Economy's Financial Sector Worth What it Costs Us?,World Scientific,,,,,,,,2014,https://scholar.harvard.edu/bfriedman/publications/our-economys-financial-sector-worth-what-it-costs-us,,,,,,,,,,,,Summer - Maceo,,,01/01/2014,Yes,Friedman Benjamin M.,Friedman Benjamin M.. 2014. Is Our Economy's Financial Sector Worth What it Costs Us?: World Scientific.
,Book,66,Benjamin,,Friedman,Benjamin M. Friedman,Is Our Economy's Financial Sector Worth What It Costs Us?,World Scientific,,,,,,,,2013,https://scholar.harvard.edu/bfriedman/publications/our-economy%E2%80%9Fs-financial-sector-worth-what-it-costs-us,,,,,,,,,,,,Summer - Maceo,,,01/01/2013,Yes,Friedman Benjamin M.,Friedman Benjamin M.. 2013. Is Our Economy's Financial Sector Worth What It Costs Us?: World Scientific.
,Book Chapters,1,Raffaella,,Sadun,"Anuradha Gurung; Josh Lerner; Nick Bloom; Quentin Boucly; Steven J. Davis; John Haltiwanger; Ron Jarmin; Javier Miranda; Raffaella Sadun; Morten Sørensen; David Sraer; Per Strömberg; Joseph L. Rice, III; Piero Barucci; Wim Borgdorff; Ulrich Cartellieri; Nick Ferguson; R. Glenn Hubbard; Philip Jennings; Michael Klein; Joncarlo Mark; Yoshihiko Miyauchi; Alessandro Profumo; Kevin Steinberg
David Swensen; Mark Wiseman; Max von Bismarck; Kevin Steinberg",Do Private Equity-owned Firms Have Better Management Practices,World Economic Forum,No,,,1-23,,,The Global Economic Impact of Private Equity Report,2009,https://www3.weforum.org/docs/WEF_IV_PrivateEquity_Report_2009.pdf,"No volume number, issue number, or Quarter/Month. No hyphen in page numbers. ",,,yes,,,,,,,,Summer - Kiki,,pdf,01/01/2009,Yes,"Gurung Anuradha, Josh Lerner, Nick Bloom, Quentin Boucly, Steven J. Davis, John Haltiwanger, Ron Jarmin, Javier Miranda, Raffaella Sadun, Morten Sørensen, David Sraer, Per Strömberg, Joseph L. Rice, III, Piero Barucci, Wim Borgdorff, Ulrich Cartellieri, Nick Ferguson, R. Glenn Hubbard, Philip Jennings, Michael Klein, Joncarlo Mark, Yoshihiko Miyauchi, Alessandro Profumo, Kevin Steinberg
David Swensen, Mark Wiseman, Max von Bismarck and Kevin Steinberg",Skipped
,Journal Article,25,Marcella,,Alsan,Marcella Alsan; David E Bloom; David Canning,The Effect of Population Health on Foreign Direct Investment Inflows to Low- and Middle-Income Countries,World Development,No,34.0,4,613-630,April,,,2006,https://pubmed.ncbi.nlm.nih.gov/32287931/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,04/01/2006,Yes,"Alsan Marcella, David E Bloom and David Canning","Alsan Marcella, David E Bloom and David Canning. 2006. The Effect of Population Health on Foreign Direct Investment Inflows to Low- and Middle-Income Countries. World Development 34.0, no. 4 (April): 613-630."
,Journal Article,29,Shawn,A,Cole,Shawn Cole; William Parienté; Anja Sautmann,A revolution in economics? It’s just getting started…,World Development,No,127.0,,,March,,,2020,https://www.sciencedirect.com/science/article/abs/pii/S0305750X1930498X,No issue or page number.,,,,,,,,,,,Summer - Kiki,,abstract author,03/01/2020,Yes,"Cole Shawn, William Parienté and Anja Sautmann","Cole Shawn, William Parienté and Anja Sautmann. 2020. A revolution in economics? It’s just getting started…. World Development 127.0, no. nan (March): nan."
,Journal Article,68,Sebastian,,Bauhoff,Diana K.L. Ngo; Sebastian Bauhoff,The Medium-Run and Scale-Up Effects of Performance-Based Financing: An Extension of Rwanda’s 2006 Trial Using Secondary Data,World Development,,,,,,105264,,2021,https://www.sciencedirect.com/science/article/pii/S0305750X20303910,,,,,,,,,,,,Summer - Maceo,,abstract author,01/01/2021,Yes,Ngo Diana K.L. and Sebastian Bauhoff,"Ngo Diana K.L. and Sebastian Bauhoff. 2021. The Medium-Run and Scale-Up Effects of Performance-Based Financing: An Extension of Rwanda’s 2006 Trial Using Secondary Data. World Development nan, no. nan (nan): nan."
